model_name,encoder_lr,n_seeds,folds_per_seed,n_fold_rows,mean_auc_seedlevel,sd_auc_seedlevel,mean_auc_foldlevel,sd_auc_foldlevel,worst_fold_auc,mean_pr_auc,mean_f1_05,mean_best_epoch
dual_view_contrastive_learning,0.0,4,5;5;5;5,20,0.8443591655516863,0.008910483662072649,0.8443591655516863,0.008407262255864831,0.834925644844788,0.841981239979264,0.7647154154509908,99.15
dual_view_contrastive_learning,1e-05,4,5;5;5;5,20,0.9444617075704824,0.0016612049515727352,0.9444617075704824,0.0030915507531863733,0.9362253824148284,0.9504586651949823,0.866061969960603,97.3
dual_view_contrastive_learning,0.0001,4,5;5;5;5,20,0.9489974628253135,0.0003446722928091799,0.9489974628253133,0.0022962434937770725,0.9441621155164668,0.9542427964955726,0.8742657463716942,15.55
dual_view_contrastive_learning,0.001,4,5;5;5;5,20,0.953387072312984,0.0005123416049779735,0.9533870723129837,0.0018137701163621425,0.9502509043194552,0.9589568181616321,0.8825849011396963,6.05
dual_view_masked_reconstruction,0.0,4,5;5;5;5,20,0.9242729194083428,0.000567117683937501,0.9242729194083428,0.003491267303671455,0.9185979502092348,0.928291489079777,0.8479332371894529,93.85
dual_view_masked_reconstruction,1e-05,4,5;5;5;5,20,0.9391873577042801,0.004609669201374963,0.9391873577042802,0.005546758215869559,0.9256998132255244,0.9454825813192913,0.8232064843467433,9.05
dual_view_masked_reconstruction,0.0001,4,5;5;5;5,20,0.950479406607494,0.0020412937606881848,0.950479406607494,0.002767465742877939,0.9460558668463483,0.9557666223254906,0.8725264582636303,9.35
dual_view_masked_reconstruction,0.001,4,5;5;5;5,20,0.9554594143599968,0.0008400309494365992,0.9554594143599967,0.0024875666359380926,0.9508298460883752,0.9606032883240754,0.8854305531179459,6.9
scratch_full_model_baseline,,4,5;5;5;5,20,0.9545794246620817,0.0007607164604690038,0.9545794246620816,0.002602479734756221,0.9494390855143392,0.9602043198091152,0.8832352742100575,7.5
