epoch,train_loss,val_loss,train_pos_sim,train_neg_sim,val_pos_sim,val_neg_sim,train_embedding_norm,val_embedding_norm,lr,epoch_time_sec,temperature,batch_size,projection_dim,train_aug_noise_std,train_channel_drop_prob,train_block_mask_ratio,val_aug_noise_std,val_channel_drop_prob,val_block_mask_ratio,amp_enabled
1,0.7947171586778429,0.82133974609375,0.9764405381944444,-0.010317897711859808,0.9883328125,0.023283407592773437,1.0,1.0,0.001,109.62962651252747,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
2,0.6840084764268664,0.7946190063476563,0.9893796875,-0.012610611979166667,0.99254453125,0.02213603515625,1.0,1.0,0.001,107.98174977302551,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
3,0.6654988420274522,0.7573517639160157,0.9923498263888889,-0.01310158420138889,0.99385859375,0.0150593994140625,1.0,1.0,0.001,111.69570803642273,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
4,0.6565265631781684,0.7533743103027344,0.9937080729166666,-0.013391276041666667,0.99455234375,0.016458905029296873,1.0,1.0,0.001,113.40567517280579,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
5,0.6519989244249131,0.7396145385742188,0.9945896701388889,-0.013623795572916667,0.99501328125,0.012431179809570312,1.0,1.0,0.001,106.47813749313354,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
6,0.6495267825656467,0.7443768371582031,0.9948959201388888,-0.01380556640625,0.9948828125,0.012857586669921876,1.0,1.0,0.001,109.10235452651978,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
7,0.646344145711263,0.7516840881347656,0.9955216145833333,-0.013919704861111111,0.99570859375,0.0157447998046875,1.0,1.0,0.001,104.38526225090027,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
8,0.6439099531385634,0.7320944580078125,0.9959759548611111,-0.014049761284722222,0.9965453125,0.01277982177734375,1.0,1.0,0.001,104.33270406723022,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
9,0.640866355726454,0.7300813720703125,0.9963175347222222,-0.014099793836805555,0.99657578125,0.010536865234375,1.0,1.0,0.001,105.27453875541687,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
10,0.6395652591281467,0.7262107421875,0.9964473090277778,-0.014179947916666666,0.9970890625,0.01019261474609375,1.0,1.0,0.001,106.54157328605652,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
11,0.6381378078884549,0.7278867553710937,0.99667421875,-0.014251573350694444,0.997065625,0.009542961883544922,1.0,1.0,0.001,108.16095900535583,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
12,0.6369475436740452,0.728006640625,0.9967274305555556,-0.014305381944444445,0.99615234375,0.00962490234375,1.0,1.0,0.001,106.04150009155273,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
13,0.6354198438856337,0.7269138732910156,0.9969425347222223,-0.014357161458333333,0.9969921875,0.00983909912109375,1.0,1.0,0.001,101.75904440879822,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
14,0.6334514848497179,0.7359117919921875,0.99717578125,-0.014378841145833333,0.9977203125,0.012480712890625,1.0,1.0,0.001,100.91253066062927,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
15,0.632076811726888,0.7242923461914063,0.9973400173611111,-0.014409266493055555,0.99771640625,0.00882181396484375,1.0,1.0,0.001,103.69132781028748,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
16,0.6312176466200087,0.7317349365234375,0.9973027777777778,-0.014434906684027778,0.997234375,0.00965394287109375,1.0,1.0,0.001,101.5002076625824,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
17,0.6301257734510634,0.7362569396972656,0.9974111979166667,-0.01445087890625,0.9976859375,0.0102989501953125,1.0,1.0,0.001,101.7102792263031,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
18,0.6295513136121962,0.7201829467773437,0.9974404513888889,-0.01447998046875,0.9979296875,0.007772509765625,1.0,1.0,0.001,103.71720266342163,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
19,0.6272596655951606,0.7228465759277344,0.9977658854166667,-0.014498546006944444,0.9978859375,0.0073970458984375,1.0,1.0,0.001,106.71756362915039,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
20,0.626972051662869,0.7365176330566406,0.9976509548611111,-0.014485774739583334,0.9979421875,0.01051884765625,1.0,1.0,0.001,109.36175775527954,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
21,0.6258166636149088,0.7324272338867187,0.9978206597222222,-0.014495366753472223,0.99747890625,0.00784498291015625,1.0,1.0,0.001,107.31667423248291,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
22,0.625159023030599,0.7295531433105469,0.99777890625,-0.014493077256944445,0.99827421875,0.00739559326171875,1.0,1.0,0.001,106.6638503074646,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
23,0.6241524085150825,0.7304039367675781,0.9979625868055556,-0.014485894097222222,0.99813671875,0.006810690307617187,1.0,1.0,0.001,104.32720851898193,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
24,0.6229455871582031,0.7352659240722657,0.9980171875,-0.01447058376736111,0.9982546875,0.00763116455078125,1.0,1.0,0.001,103.83961391448975,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
25,0.6224041249593099,0.7371661071777343,0.9979890625,-0.014467437065972222,0.9978421875,0.006437060546875,1.0,1.0,0.001,105.19724440574646,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
26,0.6215378780788845,0.7336912841796875,0.9980583333333334,-0.014477256944444444,0.99849609375,0.006373858642578125,1.0,1.0,0.001,105.08865690231323,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
27,0.6208557905409071,0.7357572509765625,0.9980644097222222,-0.014474696180555555,0.99826640625,0.005643209838867187,1.0,1.0,0.001,106.78047251701355,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
28,0.6199190619574653,0.7330035888671875,0.9981369791666667,-0.014465874565972222,0.9982921875,0.005396978759765625,1.0,1.0,0.001,104.55634260177612,0.2,64,128,0.03,0.1,0.15,0.03,0.1,0.15,True
