method,fraction,mean,std,count,train_n
masked_recon,0.05,0.6524300120993878,0.03855495092166022,3,102.0
masked_recon,0.1,0.6615375697776552,0.025202628941487303,3,204.0
masked_recon,0.25,0.6671259312681946,0.03636719943997278,3,511.0
masked_recon,0.5,0.6905307187096152,0.036591163552344715,3,1023.0
masked_recon,1.0,0.6751848863887613,0.01635026595538176,3,2046.0
scratch,0.05,0.6710849313996693,0.043356280415353804,3,102.0
scratch,0.1,0.679736703167244,0.014452905804615945,3,204.0
scratch,0.25,0.666492926801204,0.02388713582876107,3,511.0
scratch,0.5,0.6912576365241181,0.025180683068640516,3,1023.0
scratch,1.0,0.6933570391223888,0.00846766314105005,3,2046.0
