arm,seed,fold,AUC,PR-AUC
with_landcover,42,0,0.873046875,0.8387401885861032
with_landcover,42,1,0.7061143984220908,0.6320501769337667
with_landcover,42,2,0.6578853684585262,0.65203236146238
with_landcover,42,3,0.6989795918367347,0.7644537975373215
with_landcover,42,4,0.856401384083045,0.8653968204836403
with_landcover,123,0,0.8369140625,0.8124688367567805
with_landcover,123,1,0.8007889546351085,0.7947159834515333
with_landcover,123,2,0.6792452830188679,0.7205755057945792
with_landcover,123,3,0.6785714285714286,0.7024609000385399
with_landcover,123,4,0.8633217993079585,0.8210130822242143
with_landcover,7,0,0.8720703125,0.8407974312774287
with_landcover,7,1,0.8362919132149902,0.8480014907225967
with_landcover,7,2,0.5991456034175864,0.5797208685953128
with_landcover,7,3,0.6530612244897959,0.7169128171690283
with_landcover,7,4,0.6176470588235294,0.6214487076018917
no_landcover,42,0,0.73828125,0.7331726260583434
no_landcover,42,1,0.3320184089414859,0.4068700243023514
no_landcover,42,2,0.6041295834816661,0.6003063644610758
no_landcover,42,3,0.6020408163265306,0.5690681232006972
no_landcover,42,4,0.5916955017301038,0.6124711564268704
no_landcover,123,0,0.2607421875,0.38575868534626434
no_landcover,123,1,0.7666009204470743,0.7944692049419583
no_landcover,123,2,0.7173371306514774,0.6957860573708644
no_landcover,123,3,0.5918367346938775,0.6629901197008864
no_landcover,123,4,0.7370242214532872,0.6917057339169769
no_landcover,7,0,0.6904296875,0.7054140593156109
no_landcover,7,1,0.715318869165023,0.7602337245517485
no_landcover,7,2,0.6475614097543609,0.6299869923861373
no_landcover,7,3,0.6989795918367347,0.7137028327090439
no_landcover,7,4,0.856401384083045,0.8158854468761709
