arm,seed,fold,AUC,PR_AUC
10m,42,0,0.4606854838709677,0.5007784732614332
10m,42,1,0.4753451676528599,0.4783428572617856
10m,42,2,0.4692061231755073,0.4495813784191241
10m,42,3,0.7142857142857143,0.7107724979117015
10m,42,4,0.7439446366782007,0.7386993079475966
10m,123,0,0.7752016129032258,0.7643423212039321
10m,123,1,0.7567389875082183,0.7502297273870452
10m,123,2,0.6173015307938768,0.643116488239067
10m,123,3,0.4464285714285714,0.5373226204437385
10m,123,4,0.6937716262975778,0.6895580679338684
10m,7,0,0.7872983870967742,0.7698753965261259
10m,7,1,0.2373438527284681,0.3668517351543373
10m,7,2,0.477750088999644,0.4594206846374802
10m,7,3,0.8571428571428571,0.9015186936018428
10m,7,4,0.620242214532872,0.6323776128887042
10m,1,0,0.7459677419354839,0.7271505474125167
10m,1,1,0.47337278106508873,0.4806152974869785
10m,1,2,0.44927020291918834,0.4736730728477678
10m,1,3,0.8571428571428571,0.8574353226138941
10m,1,4,0.5173010380622838,0.5708225407117067
10m,99,0,0.45463709677419356,0.47292762296099533
10m,99,1,0.20512820512820512,0.36930012409694807
10m,99,2,0.6269134923460307,0.6035604469637671
10m,99,3,0.6904761904761905,0.6986274171673331
10m,99,4,0.8667820069204152,0.8767220298268503
