method,arm,n_seeds,mean_AUC,SD_allfolds,seed_to_seed_SD,mean_PR_AUC,worst_fold_AUC,seed7_meanAUC,seed42_meanAUC,seed123_meanAUC
scratch,30m,3,0.836,0.1117,0.012,0.8285,0.5928,0.8498,0.8301,0.8281
scratch,10m,3,0.8596,0.1125,0.0359,0.8568,0.5902,0.8182,0.8826,0.8779
masked_recon,30m,3,0.8647,0.0753,0.0095,0.8533,0.7293,0.8571,0.8616,0.8753
masked_recon,10m,3,0.905,0.0343,0.0088,0.9031,0.8463,0.9025,0.8978,0.9148
cross_channel,30m,3,0.8708,0.0812,0.0187,0.8645,0.7178,0.8624,0.8922,0.8576
cross_channel,10m,3,0.8772,0.1174,0.0308,0.887,0.5258,0.8493,0.9102,0.8722
strip_jigsaw,30m,3,0.7788,0.1033,0.0203,0.7652,0.573,0.7794,0.7988,0.7582
strip_jigsaw,10m,3,0.8645,0.0486,0.0179,0.8665,0.7959,0.8852,0.8539,0.8544
sequential,30m,3,0.8736,0.0691,0.0072,0.8648,0.7385,0.8682,0.8709,0.8818
sequential,10m,3,0.9025,0.0741,0.0203,0.9024,0.6767,0.8822,0.9025,0.9229
