epoch,train_loss,val_loss,learning_rate
1,0.6936139470741842,0.4641287388801575,0.0001
2,0.4786495762575564,0.39361083483695986,0.0001
3,0.42591655540720846,0.3565854468345642,0.0001
4,0.39985929243929447,0.34660018420219424,0.0001
5,0.39400344959781686,0.34169263815879825,0.0001
6,0.38214055976409506,0.33045006012916567,0.0001
7,0.3688419568368973,0.32069224762916565,0.0001
8,0.36500705874051065,0.3177019462585449,0.0001
9,0.3605308066059262,0.3145799336433411,0.0001
10,0.3555719238371187,0.3133891923427582,0.0001
11,0.3530615957394189,0.3063673212528229,0.0001
12,0.3428120783851664,0.3048037438392639,0.0001
13,0.340771060079018,0.3044700908660889,0.0001
14,0.3417543052990666,0.30157518601417543,0.0001
15,0.33179526731000675,0.29793903827667234,0.0001
16,0.3297801315254164,0.29195910215377807,0.0001
17,0.32836651637672953,0.29707222032547,0.0001
18,0.32506648522679066,0.2902227718830109,0.0001
19,0.3189451014656189,0.29200408565998076,0.0001
20,0.3179182241077525,0.2919591830968857,0.0001
21,0.3172666212523959,0.2884715200662613,0.0001
22,0.30897776639334246,0.2928028355836868,0.0001
23,0.31348262987102904,0.28533245241641997,0.0001
24,0.3103353919932002,0.29959217739105226,0.0001
25,0.3060655077899478,0.28122264552116394,0.0001
26,0.3091800584063411,0.2780701096057892,0.0001
27,0.30713915628682675,0.27958128583431247,0.0001
28,0.30458628420727957,0.27852445089817046,0.0001
29,0.2965271651108494,0.27933300197124483,0.0001
30,0.29376762150869673,0.2794601061344147,0.0001
31,0.2964229274050621,0.2674789136648178,0.0001
32,0.2887147914790598,0.2714973300695419,0.0001
33,0.28795519232537825,0.2789470913410187,0.0001
34,0.28656096077686527,0.2686378860473633,0.0001
35,0.28601080651172966,0.2645913769006729,0.0001
36,0.2843914580833021,0.26769019484519957,0.0001
37,0.28464239697863625,0.2664529526233673,0.0001
38,0.2806575105283608,0.2652216156721115,0.0001
39,0.279145330720949,0.261922743678093,0.0001
40,0.28002274243220737,0.2641216753721237,0.0001
41,0.27581413238710356,0.265314985871315,0.0001
42,0.2754608495591798,0.29471925187110903,0.0001
43,0.27507002932745367,0.2599917804002762,0.0001
44,0.2729369799649588,0.2652720682621002,0.0001
45,0.2699642001628027,0.2645918560028076,0.0001
46,0.26820471585857486,0.25881991803646087,0.0001
47,0.27058319487605653,0.2711024206876755,0.0001
48,0.2661116650308154,0.2605473242998123,0.0001
49,0.26149341273138105,0.25775618529319766,0.0001
50,0.26062258462888915,0.2580960737466812,0.0001
