epoch,train_loss,val_loss,train_acc_top1,val_acc_top1,train_acc_top5,val_acc_top5,learning_rate,batch_size,n_permutation_classes
1,1.8530229789870125,1.7889012689590453,0.17583705357142856,0.1979999998807907,0.8426339285714286,0.8524999990463257,0.0001,128,6
2,1.4636819677693502,0.6458170289993286,0.3833705357142857,0.7629999995231629,0.9287946428571429,0.9950000004768371,0.0001,128,6
3,0.26040065714291166,0.12223801219463348,0.9103236607142857,0.959,0.9993303571428571,0.9995,0.0001,128,6
4,0.09467208104740296,0.07712903088331223,0.9690848214285714,0.9745000004768372,0.9999441964285715,1.0,0.0001,128,6
5,0.05922366631483393,0.04968341171741485,0.9809151785714286,0.9839999990463257,0.9998883928571428,1.0,0.0001,128,6
6,0.04555570759278323,0.04414519894123077,0.9856026785714286,0.9869999990463257,1.0,0.9995,0.0001,128,6
7,0.03585980315027493,0.041312927961349485,0.9896763392857143,0.9875000009536743,1.0,1.0,0.0001,128,6
8,0.0258530540375172,0.027195248186588288,0.9921316964285715,0.9890000009536744,1.0,1.0,0.0001,128,6
9,0.020446913706005685,0.04205291843414306,0.9938616071428571,0.9890000009536744,1.0,1.0,0.0001,128,6
10,0.016848268591067087,0.02023226911574602,0.9949776785714286,0.9930000004768371,1.0,1.0,0.0001,128,6
11,0.017495712963864207,0.020974332846701145,0.9950334821428571,0.993,1.0,1.0,0.0001,128,6
12,0.015088081156968006,0.024822248995304108,0.9956473214285714,0.9900000004768371,1.0,1.0,0.0001,128,6
13,0.008652865310848159,0.024522991444915532,0.9970424107142857,0.9900000004768371,1.0,1.0,0.0001,128,6
14,0.013399876875752982,0.02943905083090067,0.9964285714285714,0.99,1.0,1.0,0.0001,128,6
15,0.008767341640486847,0.025738632708787918,0.9973772321428571,0.9920000009536744,1.0,1.0,0.0001,128,6
16,0.007615812709471876,0.03718720304965973,0.9977678571428571,0.9910000004768371,1.0,1.0,0.0001,128,6
17,0.008027725358052911,0.02184331189095974,0.9974888392857143,0.995,1.0,1.0,0.0001,128,6
18,0.005809873255410432,0.014935971032828092,0.9981584821428572,0.9945000009536743,1.0,1.0,0.0001,128,6
19,0.007901787990912063,0.021439074203372002,0.9972098214285714,0.9910000009536744,1.0,1.0,0.0001,128,6
20,0.006935928020435053,0.018311040587723256,0.99765625,0.9940000009536744,1.0,1.0,0.0001,128,6
21,0.004485703504386557,0.023989136515185236,0.9986049107142857,0.9940000004768371,1.0,1.0,0.0001,128,6
22,0.005270390772472768,0.007731538738124073,0.9982142857142857,0.998,1.0,1.0,0.0001,128,6
23,0.005596266225360783,0.015532758057117462,0.9983258928571429,0.9944999995231628,1.0,1.0,0.0001,128,6
24,0.00308671242517968,0.017580660411156714,0.9991629464285714,0.9950000004768371,1.0,1.0,0.0001,128,6
25,0.0036555569842416195,0.021387974023818968,0.9988839285714286,0.9920000004768371,1.0,1.0,0.0001,128,6
26,0.0017912579399437943,0.011727649256587029,0.9995535714285714,0.9960000004768371,1.0,1.0,0.0001,128,6
27,0.0030043892034362736,0.016499879701063036,0.9989955357142857,0.9945000004768372,1.0,1.0,0.0001,128,6
28,0.006395681994555551,0.01991052210656926,0.9979352678571428,0.9940000004768371,1.0,1.0,0.0001,128,6
29,0.004183738222387287,0.005743251741863787,0.9987165178571429,0.9975,1.0,1.0,0.0001,128,6
30,0.005052412509394344,0.01096839203266427,0.9986607142857142,0.9965,1.0,1.0,0.0001,128,6
31,0.0037635360067464975,0.009919911087490619,0.9990513392857143,0.9965,1.0,1.0,0.0001,128,6
32,0.004175324281407354,0.01882096024416387,0.9984933035714286,0.9950000004768371,1.0,1.0,0.0001,128,6
33,0.004403216364568964,0.012900560607435182,0.9984375,0.9965,1.0,1.0,0.0001,128,6
34,0.004362079611590681,0.023995552067644893,0.9984933035714286,0.9945,1.0,1.0,0.0001,128,6
35,0.0033107512470451185,0.010352377006784081,0.9989397321428571,0.997,1.0,1.0,0.0001,128,6
36,0.003953029474983591,0.013752667860593646,0.9986607142857142,0.9965,1.0,1.0,0.0001,128,6
37,0.0024088872299866384,0.00894775643479079,0.99921875,0.9980000004768371,1.0,1.0,0.0001,128,6
38,0.0025087898749396637,0.010974255449138581,0.9993303571428571,0.9965,1.0,1.0,0.0001,128,6
39,0.0031593365711679714,0.005546083637396805,0.9992745535714286,0.9975,1.0,1.0,0.0001,128,6
40,0.0024610976019175724,0.01307446878682822,0.9991629464285714,0.996,1.0,1.0,0.0001,128,6
41,0.0043595879902308555,0.00868632750492543,0.9984375,0.9985,1.0,1.0,0.0001,128,6
42,0.0036116129849428293,0.01273663339484483,0.9988839285714286,0.9965000004768372,1.0,1.0,0.0001,128,6
43,0.0023855848903622245,0.015881478517199867,0.99921875,0.9975,1.0,1.0,0.0001,128,6
44,0.0018480363089111052,0.006235824577161111,0.9993303571428571,0.998,1.0,1.0,0.0001,128,6
45,0.0005156345748218883,0.00674147828220157,0.9999441964285715,0.9975,1.0,1.0,0.0001,128,6
46,0.0017536050069923345,0.009518413476180286,0.999609375,0.997,1.0,1.0,0.0001,128,6
47,0.001267237953665504,0.01950239208014682,0.9994977678571428,0.9945,1.0,1.0,0.0001,128,6
48,0.002199551513253287,0.005828604727750644,0.99921875,0.998,1.0,1.0,0.0001,128,6
49,0.0025440947521149482,0.01685633281615446,0.99921875,0.9955,1.0,1.0,0.0001,128,6
